"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Aug 08 01:19:15 GMT 2024","Thu Aug 08 01:19:15 GMT 2024","0","chromium","featureFiles/smokeTests.feature.spec.js","Smoke Tests","","","Sign Out",""
"failed","Thu Aug 08 01:19:15 GMT 2024","Thu Aug 08 01:19:15 GMT 2024","270","chromium","featureFiles/smokeTests.feature.spec.js","Smoke Tests","","","Login",""
"skipped","Thu Aug 08 01:19:15 GMT 2024","Thu Aug 08 01:19:15 GMT 2024","0","chromium","featureFiles/smokeTests.feature.spec.js","Smoke Tests","","","FAQ page",""
"skipped","Thu Aug 08 01:19:15 GMT 2024","Thu Aug 08 01:19:15 GMT 2024","1","chromium","featureFiles/smokeTests.feature.spec.js","Smoke Tests","","","Create Order",""
