"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Aug 15 01:15:44 GMT 2024","Thu Aug 15 01:15:44 GMT 2024","0","chromium","featureFiles/smokeTests.feature.spec.js","Smoke Tests","","","Create Order",""
"skipped","Thu Aug 15 01:15:44 GMT 2024","Thu Aug 15 01:15:44 GMT 2024","1","chromium","featureFiles/smokeTests.feature.spec.js","Smoke Tests","","","FAQ page",""
"failed","Thu Aug 15 01:15:44 GMT 2024","Thu Aug 15 01:15:44 GMT 2024","261","chromium","featureFiles/smokeTests.feature.spec.js","Smoke Tests","","","Login",""
"skipped","Thu Aug 15 01:15:44 GMT 2024","Thu Aug 15 01:15:44 GMT 2024","0","chromium","featureFiles/smokeTests.feature.spec.js","Smoke Tests","","","Sign Out",""
