"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Aug 12 01:21:27 GMT 2024","Mon Aug 12 01:21:27 GMT 2024","0","chromium","featureFiles/smokeTests.feature.spec.js","Smoke Tests","","","Create Order",""
"skipped","Mon Aug 12 01:21:27 GMT 2024","Mon Aug 12 01:21:27 GMT 2024","0","chromium","featureFiles/smokeTests.feature.spec.js","Smoke Tests","","","Sign Out",""
"failed","Mon Aug 12 01:21:27 GMT 2024","Mon Aug 12 01:21:27 GMT 2024","276","chromium","featureFiles/smokeTests.feature.spec.js","Smoke Tests","","","Login",""
"skipped","Mon Aug 12 01:21:27 GMT 2024","Mon Aug 12 01:21:27 GMT 2024","1","chromium","featureFiles/smokeTests.feature.spec.js","Smoke Tests","","","FAQ page",""
