"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Jul 16 01:19:11 GMT 2024","Tue Jul 16 01:19:11 GMT 2024","0","chromium","featureFiles/smokeTests.feature.spec.js","Smoke Tests","","","FAQ page",""
"skipped","Tue Jul 16 01:19:11 GMT 2024","Tue Jul 16 01:19:11 GMT 2024","1","chromium","featureFiles/smokeTests.feature.spec.js","Smoke Tests","","","Sign Out",""
"failed","Tue Jul 16 01:19:10 GMT 2024","Tue Jul 16 01:19:11 GMT 2024","268","chromium","featureFiles/smokeTests.feature.spec.js","Smoke Tests","","","Login",""
"skipped","Tue Jul 16 01:19:11 GMT 2024","Tue Jul 16 01:19:11 GMT 2024","1","chromium","featureFiles/smokeTests.feature.spec.js","Smoke Tests","","","Create Order",""
