"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Jul 11 01:17:46 GMT 2024","Thu Jul 11 01:17:46 GMT 2024","0","chromium","featureFiles/smokeTests.feature.spec.js","Smoke Tests","","","Sign Out",""
"skipped","Thu Jul 11 01:17:46 GMT 2024","Thu Jul 11 01:17:46 GMT 2024","0","chromium","featureFiles/smokeTests.feature.spec.js","Smoke Tests","","","Create Order",""
"failed","Thu Jul 11 01:17:45 GMT 2024","Thu Jul 11 01:17:45 GMT 2024","264","chromium","featureFiles/smokeTests.feature.spec.js","Smoke Tests","","","Login",""
"skipped","Thu Jul 11 01:17:46 GMT 2024","Thu Jul 11 01:17:46 GMT 2024","0","chromium","featureFiles/smokeTests.feature.spec.js","Smoke Tests","","","FAQ page",""
