"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Aug 05 01:20:12 GMT 2024","Mon Aug 05 01:20:12 GMT 2024","0","chromium","featureFiles/smokeTests.feature.spec.js","Smoke Tests","","","Create Order",""
"skipped","Mon Aug 05 01:20:12 GMT 2024","Mon Aug 05 01:20:12 GMT 2024","1","chromium","featureFiles/smokeTests.feature.spec.js","Smoke Tests","","","FAQ page",""
"failed","Mon Aug 05 01:20:11 GMT 2024","Mon Aug 05 01:20:12 GMT 2024","260","chromium","featureFiles/smokeTests.feature.spec.js","Smoke Tests","","","Login",""
"skipped","Mon Aug 05 01:20:12 GMT 2024","Mon Aug 05 01:20:12 GMT 2024","0","chromium","featureFiles/smokeTests.feature.spec.js","Smoke Tests","","","Sign Out",""
