"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Jul 09 01:17:15 GMT 2024","Tue Jul 09 01:17:15 GMT 2024","1","chromium","featureFiles/smokeTests.feature.spec.js","Smoke Tests","","","FAQ page",""
"failed","Tue Jul 09 01:17:14 GMT 2024","Tue Jul 09 01:17:15 GMT 2024","275","chromium","featureFiles/smokeTests.feature.spec.js","Smoke Tests","","","Login",""
"skipped","Tue Jul 09 01:17:15 GMT 2024","Tue Jul 09 01:17:15 GMT 2024","0","chromium","featureFiles/smokeTests.feature.spec.js","Smoke Tests","","","Sign Out",""
"skipped","Tue Jul 09 01:17:15 GMT 2024","Tue Jul 09 01:17:15 GMT 2024","0","chromium","featureFiles/smokeTests.feature.spec.js","Smoke Tests","","","Create Order",""
