"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Jul 13 01:17:36 GMT 2024","Sat Jul 13 01:17:36 GMT 2024","276","chromium","featureFiles/smokeTests.feature.spec.js","Smoke Tests","","","Login",""
"skipped","Sat Jul 13 01:17:36 GMT 2024","Sat Jul 13 01:17:36 GMT 2024","1","chromium","featureFiles/smokeTests.feature.spec.js","Smoke Tests","","","Create Order",""
"skipped","Sat Jul 13 01:17:36 GMT 2024","Sat Jul 13 01:17:36 GMT 2024","0","chromium","featureFiles/smokeTests.feature.spec.js","Smoke Tests","","","Sign Out",""
"skipped","Sat Jul 13 01:17:36 GMT 2024","Sat Jul 13 01:17:36 GMT 2024","1","chromium","featureFiles/smokeTests.feature.spec.js","Smoke Tests","","","FAQ page",""
