"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Jul 17 01:18:04 GMT 2024","Wed Jul 17 01:18:04 GMT 2024","0","chromium","featureFiles/smokeTests.feature.spec.js","Smoke Tests","","","Sign Out",""
"skipped","Wed Jul 17 01:18:04 GMT 2024","Wed Jul 17 01:18:04 GMT 2024","0","chromium","featureFiles/smokeTests.feature.spec.js","Smoke Tests","","","FAQ page",""
"failed","Wed Jul 17 01:18:04 GMT 2024","Wed Jul 17 01:18:04 GMT 2024","280","chromium","featureFiles/smokeTests.feature.spec.js","Smoke Tests","","","Login",""
"skipped","Wed Jul 17 01:18:04 GMT 2024","Wed Jul 17 01:18:04 GMT 2024","0","chromium","featureFiles/smokeTests.feature.spec.js","Smoke Tests","","","Create Order",""
