"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Aug 09 01:20:19 GMT 2024","Fri Aug 09 01:20:19 GMT 2024","0","chromium","featureFiles/smokeTests.feature.spec.js","Smoke Tests","","","Sign Out",""
"failed","Fri Aug 09 01:20:18 GMT 2024","Fri Aug 09 01:20:19 GMT 2024","285","chromium","featureFiles/smokeTests.feature.spec.js","Smoke Tests","","","Login",""
"skipped","Fri Aug 09 01:20:19 GMT 2024","Fri Aug 09 01:20:19 GMT 2024","0","chromium","featureFiles/smokeTests.feature.spec.js","Smoke Tests","","","FAQ page",""
"skipped","Fri Aug 09 01:20:19 GMT 2024","Fri Aug 09 01:20:19 GMT 2024","1","chromium","featureFiles/smokeTests.feature.spec.js","Smoke Tests","","","Create Order",""
