"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Aug 23 01:19:45 GMT 2024","Fri Aug 23 01:19:45 GMT 2024","1","chromium","featureFiles/smokeTests.feature.spec.js","Smoke Tests","","","FAQ page",""
"failed","Fri Aug 23 01:19:44 GMT 2024","Fri Aug 23 01:19:45 GMT 2024","267","chromium","featureFiles/smokeTests.feature.spec.js","Smoke Tests","","","Login",""
"skipped","Fri Aug 23 01:19:45 GMT 2024","Fri Aug 23 01:19:45 GMT 2024","0","chromium","featureFiles/smokeTests.feature.spec.js","Smoke Tests","","","Sign Out",""
"skipped","Fri Aug 23 01:19:45 GMT 2024","Fri Aug 23 01:19:45 GMT 2024","0","chromium","featureFiles/smokeTests.feature.spec.js","Smoke Tests","","","Create Order",""
