"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Aug 20 01:19:09 GMT 2024","Tue Aug 20 01:19:09 GMT 2024","1","chromium","featureFiles/smokeTests.feature.spec.js","Smoke Tests","","","FAQ page",""
"failed","Tue Aug 20 01:19:09 GMT 2024","Tue Aug 20 01:19:09 GMT 2024","266","chromium","featureFiles/smokeTests.feature.spec.js","Smoke Tests","","","Login",""
"skipped","Tue Aug 20 01:19:09 GMT 2024","Tue Aug 20 01:19:09 GMT 2024","0","chromium","featureFiles/smokeTests.feature.spec.js","Smoke Tests","","","Sign Out",""
"skipped","Tue Aug 20 01:19:09 GMT 2024","Tue Aug 20 01:19:09 GMT 2024","0","chromium","featureFiles/smokeTests.feature.spec.js","Smoke Tests","","","Create Order",""
