"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Aug 27 01:21:26 GMT 2024","Tue Aug 27 01:21:26 GMT 2024","1","chromium","featureFiles/smokeTests.feature.spec.js","Smoke Tests","","","FAQ page",""
"failed","Tue Aug 27 01:21:26 GMT 2024","Tue Aug 27 01:21:26 GMT 2024","268","chromium","featureFiles/smokeTests.feature.spec.js","Smoke Tests","","","Login",""
"skipped","Tue Aug 27 01:21:26 GMT 2024","Tue Aug 27 01:21:26 GMT 2024","0","chromium","featureFiles/smokeTests.feature.spec.js","Smoke Tests","","","Sign Out",""
"skipped","Tue Aug 27 01:21:26 GMT 2024","Tue Aug 27 01:21:26 GMT 2024","0","chromium","featureFiles/smokeTests.feature.spec.js","Smoke Tests","","","Create Order",""
