"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sat Aug 10 01:19:51 GMT 2024","Sat Aug 10 01:19:51 GMT 2024","1","chromium","featureFiles/smokeTests.feature.spec.js","Smoke Tests","","","Create Order",""
"skipped","Sat Aug 10 01:19:51 GMT 2024","Sat Aug 10 01:19:51 GMT 2024","0","chromium","featureFiles/smokeTests.feature.spec.js","Smoke Tests","","","FAQ page",""
"skipped","Sat Aug 10 01:19:51 GMT 2024","Sat Aug 10 01:19:51 GMT 2024","1","chromium","featureFiles/smokeTests.feature.spec.js","Smoke Tests","","","Sign Out",""
"failed","Sat Aug 10 01:19:50 GMT 2024","Sat Aug 10 01:19:51 GMT 2024","266","chromium","featureFiles/smokeTests.feature.spec.js","Smoke Tests","","","Login",""
