"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Jul 05 01:16:07 GMT 2024","Fri Jul 05 01:16:07 GMT 2024","264","chromium","featureFiles/smokeTests.feature.spec.js","Smoke Tests","","","Login",""
"skipped","Fri Jul 05 01:16:07 GMT 2024","Fri Jul 05 01:16:07 GMT 2024","0","chromium","featureFiles/smokeTests.feature.spec.js","Smoke Tests","","","Create Order",""
"skipped","Fri Jul 05 01:16:07 GMT 2024","Fri Jul 05 01:16:07 GMT 2024","0","chromium","featureFiles/smokeTests.feature.spec.js","Smoke Tests","","","Sign Out",""
"skipped","Fri Jul 05 01:16:07 GMT 2024","Fri Jul 05 01:16:07 GMT 2024","0","chromium","featureFiles/smokeTests.feature.spec.js","Smoke Tests","","","FAQ page",""
