"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Jun 26 01:15:22 GMT 2024","Wed Jun 26 01:15:22 GMT 2024","0","chromium","featureFiles/smokeTests.feature.spec.js","Smoke Tests","","","Sign Out",""
"skipped","Wed Jun 26 01:15:22 GMT 2024","Wed Jun 26 01:15:22 GMT 2024","0","chromium","featureFiles/smokeTests.feature.spec.js","Smoke Tests","","","FAQ page",""
"failed","Wed Jun 26 01:15:22 GMT 2024","Wed Jun 26 01:15:22 GMT 2024","261","chromium","featureFiles/smokeTests.feature.spec.js","Smoke Tests","","","Login",""
"skipped","Wed Jun 26 01:15:22 GMT 2024","Wed Jun 26 01:15:22 GMT 2024","0","chromium","featureFiles/smokeTests.feature.spec.js","Smoke Tests","","","Create Order",""
