"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Jul 18 01:16:47 GMT 2024","Thu Jul 18 01:16:47 GMT 2024","0","chromium","featureFiles/smokeTests.feature.spec.js","Smoke Tests","","","Create Order",""
"skipped","Thu Jul 18 01:16:47 GMT 2024","Thu Jul 18 01:16:47 GMT 2024","0","chromium","featureFiles/smokeTests.feature.spec.js","Smoke Tests","","","Sign Out",""
"skipped","Thu Jul 18 01:16:47 GMT 2024","Thu Jul 18 01:16:47 GMT 2024","0","chromium","featureFiles/smokeTests.feature.spec.js","Smoke Tests","","","FAQ page",""
"failed","Thu Jul 18 01:16:47 GMT 2024","Thu Jul 18 01:16:47 GMT 2024","267","chromium","featureFiles/smokeTests.feature.spec.js","Smoke Tests","","","Login",""
