"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Aug 21 01:19:28 GMT 2024","Wed Aug 21 01:19:28 GMT 2024","0","chromium","featureFiles/smokeTests.feature.spec.js","Smoke Tests","","","Create Order",""
"skipped","Wed Aug 21 01:19:28 GMT 2024","Wed Aug 21 01:19:28 GMT 2024","1","chromium","featureFiles/smokeTests.feature.spec.js","Smoke Tests","","","FAQ page",""
"skipped","Wed Aug 21 01:19:28 GMT 2024","Wed Aug 21 01:19:28 GMT 2024","0","chromium","featureFiles/smokeTests.feature.spec.js","Smoke Tests","","","Sign Out",""
"failed","Wed Aug 21 01:19:28 GMT 2024","Wed Aug 21 01:19:28 GMT 2024","277","chromium","featureFiles/smokeTests.feature.spec.js","Smoke Tests","","","Login",""
